Community Area Number,lat,long,Community Name,Population
1,41.98524067,-87.80345024,Rogers Park,55711
2,41.92434776,-87.73474016,West Ridge,79265
3,41.85026617,-87.66756823,Uptown,57464
4,41.94422687,-87.65599893,Lincoln Square,42271
5,41.72967613,-87.57271771,North Center,35814
6,41.74419968,-87.58634883,Lake View,101739
7,41.7771977,-87.6424972,Lincoln Park,69099
8,41.80908548,-87.63242457,Near North 1,101208
9,41.98671223,-87.66341661,Edison Park,11402
10,41.82375035,-87.60321641,Norwood Park,39671
11,41.97882998,-87.77116692,Jefferson Park,27032
12,41.99393065,-87.75835629,Forest Glen,19855
13,41.98363646,-87.72358282,North Park,19398
14,41.96806847,-87.72155978,Albany Park,47663
15,41.95402816,-87.76339991,Portage Park,64213
16,41.95358182,-87.72345248,Irving Park,53584
17,41.94651066,-87.80601984,Dunning,42574
18,41.92929769,-87.79803232,Montclare,13765
19,41.92726074,-87.76550184,Belmont Cragin,73991
20,41.93866589,-87.71121064,Hermosa,23157
21,41.92275986,-87.69915595,Avondale,36374
22,41.90006985,-87.72091881,Logan Square,71384
23,41.90120673,-87.67635713,Humboldt Park,55416
24,41.8941013,-87.76311182,West Town,86350
25,41.87859467,-87.73023251,Austin,100120
26,41.87891463,-87.70589721,West Garfield Park,16374
27,41.87400538,-87.66351789,East Garfield Park,19901
28,41.86018959,-87.71721947,Near West Side,65581
29,41.83908701,-87.7140021,North Lawndale,30409
30,41.87886595,-87.62519187,South Lawndale,69708
31,41.85718427,-87.62033483,Lower West,34237
32,41.81294936,-87.61785969,Loop,41671
33,41.84207749,-87.6339737,Near South,28216
34,41.83511834,-87.61867772,Armour Square,13193
35,42.00962338,-87.67016729,Douglas,21355
36,42.00157215,-87.69501266,Oakland,6977
37,41.96581208,-87.65587932,Fuller Park,2233
38,41.97517153,-87.68751544,Grand Boulevard,24813
39,41.94779237,-87.68383518,Kenwood,18637
40,41.92268612,-87.64948972,Washington Park,12366
41,41.89960211,-87.63330944,Hyde Park,29559
42,42.00761315,-87.81378103,Woodlawn,24223
43,41.80891637,-87.59618358,South Shore,55396
44,41.79235757,-87.61793123,Chatham,31341
45,41.79409031,-87.59231092,Avalon Park,9647
46,41.77887641,-87.59492536,South Chicago,30315
47,41.7615778,-87.57278271,Burnside,2246
48,41.74124282,-87.55142919,Calumet Heights,12087
49,41.72818223,-87.59647567,Roseland,37610
50,41.70658996,-87.62336577,Pullman,6856
51,41.70612706,-87.59825467,South Deering,15218
52,41.69063701,-87.57005675,East Side,23942
53,41.70731396,-87.53490234,West Pullman,25449
54,41.67382005,-87.63574017,Riverdale,7817
55,41.66013747,-87.60284873,Hegewisch,9025
56,41.6605349,-87.54657543,Garfield Ridge,36401
57,41.79618561,-87.76423968,Archer Heights,13867
58,41.81087957,-87.72636284,Brighton Park,42243
59,41.740206,-87.61596996,McKinley Park,15479
60,41.8173668,-87.69886064,Bridgeport,33221
61,41.82992225,-87.6725027,New City,40957
62,41.83615066,-87.64878825,West Elsdon,18366
63,41.80901852,-87.65916685,Gage Park,34788
64,41.79298199,-87.7242079,Clearing,24728
65,41.79543063,-87.69643521,West Lawn,32594
66,41.77958149,-87.76851103,Chicago Lawn,52464
67,41.76977903,-87.72692933,West Englewood,25772
68,41.77184916,-87.69566636,Englewood,21378
69,41.77593029,-87.66659636,Greater Grand,28991
70,41.76324707,-87.61613417,Ashburn,42745
71,41.74575691,-87.70836549,Auburn Gresham,46468
72,41.74420544,-87.65630679,Beverly,19781
73,41.71314973,-87.67507505,Washington Heights,26456
74,41.71749388,-87.64889549,Mount Greenwood,19121
75,41.69487944,-87.71319186,Morgan Park,20718
76,41.68972959,-87.66905399,O'Hare,14024
77,41.97568392,-87.89370076,Edgewater,56099
