Opponent,IIT 1Q,IIT 2Q,IIT 3Q,IIT 4Q,Opp 1Q,Opp 2Q,Opp 3Q,Opp 4Q
Franciscan,17,16,16,18,24,12,17,19
Houghton,15,14,17,14,23,16,19,18
Mount Mary,23,21,15,8,13,22,15,20
Andrews University,22,17,20,24,10,8,8,10
Colorado Col.,3,12,11,15,15,19,18,28
Willamette,6,21,14,17,,17,31,18
Alverno,17,20,23,24,11,16,16,9
Benedictine (Ill.),15,6,16,20,13,21,8,15
Illinois Col.,10,18,9,1,13,14,14,17
St. Mary's (Ind.),21,19,10,13,23,23,17,22
Edgewood,14,9,10,10,17,25,15,20
Rockford,14,8,12,15,13,12,18,10
Dominican (Ill.),21,12,22,16,17,16,15,20
Concordia Wisconsin,8,8,14,14,17,10,16,24
Concordia Chicago,13,19,16,27,16,19,14,15
St. Norbert,4,18,21,18,24,12,19,31
Aurora,15,13,3,24,24,20,24,16
MSOE,13,5,14,15,20,19,14,21
Lakeland,12,17,19,9,23,17,17,19
Benedictine (Ill.),8,10,16,18,22,19,25,15
Wis. Lutheran,10,11,5,10,28,15,24,14
Marian (Wis.),15,17,11,17,23,12,13,25
Alverno,12,18,14,15,14,14,15,14
MSOE,11,12,19,16,10,19,13,10
